"colonia","calle","No.Casa","C.P.","Ciudad"
"BARRANQUITAS","PINO SUAREZ",879,44270,"Guadalajara"
"SAN ANDRES","GOMEZ FARIAS",2319,44810,"Guadalajara"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"LOS ALMENDROS","ANTONIO GARCIA",3912,44240,"Guadalajara"
"PARAISOS DEL COLLY","GALEANA",1068,45069,"zapopan"
"FRACC CUSPIDE","VALLE DE TESIST",198,45200,"zapopan"
"VIGIA I","DEL CORRAL",604,45140,"zapopan"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"MESA DE LOS OCOTES","PASEO DE LOS PI",3153,45189,"zapopan"
"LA FLORIDA","FLORAL",15,45234,"zapopan"
"TETLAN","GIGANTES",108,44820,"Guadalajara"
"LOMAS DEL CENTINELA","PASEO DEL OLMO",328,45187,"zapopan"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"OBLATOS","AV JUAN PABLO L",3165,44700,"Guadalajara"
"GENERAL REAL","PENSADOR MEXICA",1070,44400,"Guadalajara"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"LOMAS DE POLANCO","JOSE CARRILLO",3528,44960,"Guadalajara"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"MIRAVALLE","JOSE JARAMILLO",526,44990,"Guadalajara"
"FRACC LOS PINOS","AV  COMPOSITORE",3850,45120,"zapopan"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"PROGRESO","FRANCISCO SARAB",235,44730,"Guadalajara"
"LOMAS DE MIRAMAR","PUERTO CHAMELA",314,45060,"zapopan"
"OBLATOS PONIENTE","HACIENDA DE LAS",2299,44700,"Guadalajara"
"DIVISION DEL NORTE","SILVINA REMBOA",3050,44230,"Guadalajara"
"IXTLAHUACAN DEL RIO","HDA SAN MIGUEL",10,45260,"zapopan"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"PARQUE INDUST EL ALA","FUNDICION",2131,44490,"Guadalajara"
"HELIODORO HERNANDEZ","CELIA PACHECO",3713,44720,"Guadalajara"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"AMERICANA","COLONIAS",221,44160,"Guadalajara"
"LA PALMITA","MANUEL GONZALEZ",518,45180,"zapopan"
"VILLA FONTANA DIAMANTE","AV LAS TORRES",1896,45200,"zapopan"
"AYUNTAMIENTO","BERNARDO DE BAL",1170,44620,"Guadalajara"
"COLINAS DEL REY","AV TORREMOLINOS",3500,45130,"zapopan"
