colonia,calle,no.casa,c.p.,ciudad,lat,lon
U H EL ZALATE,JOSE FERNANDEZ,1123,44760,Guadalajara,20.6788944,-103.2731978
VISTA HERMOSA,AV VISTA HERMO,3763,45189,zapopan,20.759768,-103.3342279
LA MARTINICA,PASEO DE LOS AL,79,45185,zapopan,20.7451717,-103.36845
OBLATOS,BATALLA DE IZUC,2508,44700,Guadalajara,20.6702933,-103.3225224
VILLA FONTANA DIAMANTE,FUENTE BRILLANT,1730,45200,zapopan,20.8034375,-103.4603189
VILLAS SAN IGNACIO,PRIV LUIS G MON,337,45180,zapopan,20.7340825,-103.372155
U H EL SAUZ INF,JAIME TORRES B,3090,44987,Guadalajara,20.622004,-103.367704
EL BRISE#O,CONSTELACION,7,45236,zapopan,20.6227864,-103.4373595
VISTA HERMOSA,VISTA BONITA,739,45189,zapopan,20.7624473,-103.3355536
PRADOS TEPEYAC,PRADO DE LAS RO,308,45050,zapopan,20.6565116,-103.4128702
JARDINES DEL VERGEL,JARDIN DE NARDO,1527,45180,zapopan,20.7522222,-103.3725339
VILLA VICENTE GUERRE,ISLA USTICA,3318,44860,Guadalajara,20.6311386,-103.3915347
RESID LAS ARBOLEDAS,AURORA BOREAL N,4170,45070,zapopan,20.6276322,-103.4288704
MIRAVALLE,JOSE JARAMILLO,526,44990,Guadalajara,20.6152219,-103.3529486
SANTA TERESITA,ALFREDO CHAVERO,16,44600,Guadalajara,20.6837591,-103.3707998
BENITO JUAREZ,JUAN MANUEL RUV,1992,45199,Guadalajara,20.687201,-103.342889
HELIODORO HERNANDEZ,CELIA PACHECO,3713,44720,Guadalajara,20.6962156,-103.277167
BARRANQUITAS,PINO SUAREZ,879,44270,Guadalajara,20.691024,-103.3465934
NUEVO MEXICO,COPALITA,2711,45138,zapopan,20.7681613,-103.4392267
VICTOR HUGO,PRIVADA COLON,150,45190,zapopan,20.7215163,-103.3540991
SAN ISIDRO EJIDAL,NUEVO MEXICO,250,45147,zapopan,20.7267246,-103.398145
JARDINES D NVO MEXIC,SEGUNDA NORTE,5699,45138,zapopan,20.7666421,-103.43759
DIVISION DEL NORTE,BENEDICTO LOPEZ,399,44230,Guadalajara,20.7237183,-103.3371695
BEATRIZ HERNANDEZ,GAZA,1333,44760,Guadalajara,20.6756454,-103.2861865
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,20.7154254,-103.3156733
TIERRA RESIDENCIAL,SAN MATEO,2010,45200,zapopan,20.773124,-103.4346787
SAN ANDRES,AVELINO M PRESA,3335,44810,Guadalajara,20.6614158,-103.2944488
COLINAS DEL REY,AV TORREMOLINOS,3500,45130,zapopan,20.7467867,-103.4023056
SAN ANDRES,CALLE B,165,44810,Guadalajara,20.6506742,-103.2984468
SAN JUAN BOSCO,FELIX BERNARDEL,428,44730,Guadalajara,20.67401,-103.312546
EL CARMEN,FRANCISCO MARCO,2616,44980,Guadalajara,20.6207414,-103.3839272
U H ATLAS,RIO VOLGA,1386,44870,Guadalajara,20.6508624,-103.3299609
HELIODORO HERNANDEZ,MIGUEL SANCHEZ,3789,44720,Guadalajara,20.6947831,-103.277347
MESA DE LOS OCOTES,PASEO DE LOS PI,3153,45189,zapopan,20.7639172,-103.3514862
LA FLORIDA,FLORAL,15,45234,zapopan,20.5981516,-103.4273155
LA VENTA DEL ASTILLE,JILGEROS,33,45221,zapopan,20.7473103,-103.5361308
U H LAZARO CARDENAS,OTHON BLANCO CA,4087,44490,Guadalajara,20.6223893,-103.3774652
VILLA UNIVESITARIA,AV PATRIA,1446,45110,zapopan,20.6742974,-103.4223815
MESA COLORADA PTE,ANAHUAC,52,45189,zapopan,20.7600845,-103.3389783
LA HACIENDITA,SAN MARTIN,2341,45230,zapopan,20.616479,-103.4507168
